state,state_tribal_other_agencies,unit_office,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_1,rape_legacy_definition_2,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson3
,,Genesee County,115,0,51,,2,62,305,93,186,26,4
,,Gladwin County,13,0,8,,0,5,12,6,6,0,0
,,Gogebic County,9,0,4,,0,5,39,13,22,4,0
,,Grand Traverse County,18,0,13,,0,5,70,13,56,1,0
,,Gratiot County,25,0,8,,0,17,42,11,27,4,0
,,Hillsdale County,37,0,11,,0,26,113,51,47,15,2
,,Houghton County,41,0,18,,1,22,104,33,64,7,0
,,Huron County,1,0,1,,0,0,6,3,2,1,0
,,Ingham County,53,1,25,,0,27,86,23,53,10,0
,,Ionia County,50,0,24,,0,26,117,21,90,6,3
,,Iosco County,45,1,23,,1,20,121,49,65,7,2
,,Iron County,3,0,2,,0,1,18,5,11,2,1
,,Isabella County,104,1,65,,0,38,191,43,139,9,3
,,Jackson County,94,2,30,,0,62,180,68,92,20,3
,,Kalamazoo County,23,5,5,,0,13,40,9,30,1,0
,,Kalkaska County,10,0,4,,0,6,39,12,25,2,0
,,Kent County,98,0,44,,2,52,236,58,158,20,1
,,Keweenaw County,0,0,0,,0,0,1,0,1,0,0
,,Lake County,12,0,9,,0,3,16,8,8,0,1
,,Lapeer County,34,0,21,,1,12,85,37,45,3,0
,,Leelanau County,3,0,1,,0,2,2,2,0,0,0
,,Lenawee County,46,0,21,,0,25,87,37,43,7,0
,,Livingston County,98,1,31,,7,59,329,115,188,26,3
,,Luce County,9,0,4,,0,5,29,9,16,4,0
,,Mackinac County,14,0,9,,0,5,54,11,43,0,0
,,Macomb County,40,0,10,,1,29,70,22,37,11,3
,,Manistee County,14,0,6,,1,7,59,22,35,2,0
,,Marquette County,57,1,12,,0,44,134,32,93,9,1
,,Mason County,10,0,3,,0,7,45,13,30,2,0
,,Mecosta County,9,0,8,,0,1,47,5,41,1,0
,,Menominee County,9,0,7,,0,2,28,17,11,0,0
,,Midland County,8,0,5,,0,3,10,3,6,1,0
,,Missaukee County,8,0,5,,0,3,7,1,5,1,0
,,Monroe County,94,1,43,,2,48,196,66,113,17,2
,,Montcalm County,164,1,65,,1,97,359,120,220,19,7
,,Montmorency County,3,0,1,,0,2,9,6,2,1,0
,,Muskegon County,73,0,28,,1,44,249,63,167,19,0
,,Newaygo County,58,0,20,,0,38,125,38,85,2,0
,,Oakland County,152,3,36,,12,101,267,63,157,47,7
,,Oceana County,114,1,47,,2,64,227,78,140,9,2
,,Ogemaw County,82,1,47,,2,32,167,66,96,5,2
,,Ontonagon County,6,0,4,,0,2,16,8,6,2,0
,,Osceola County,24,0,11,,0,13,24,7,16,1,1
,,Oscoda County,1,0,1,,0,0,4,3,1,0,1
,,Otsego County,59,1,38,,0,20,190,51,130,9,2
,,Ottawa County,7,0,1,,1,5,3,0,3,0,0
,,Presque Isle County,4,1,3,,0,0,0,0,0,0,0
,,Roscommon County,41,0,21,,0,20,123,42,78,3,1
,,Saginaw County,77,2,18,,3,54,72,23,38,11,3
,,Sanilac County,29,0,6,,2,21,44,10,33,1,0
,,Schoolcraft County,19,0,12,,0,7,27,8,19,0,0
,,Shiawassee County,72,0,32,,2,38,257,68,175,14,2
,,St. Clair County,7,0,4,,0,3,32,13,18,1,0
,,St. Joseph County,32,0,10,,0,22,142,69,67,6,1
,,Tuscola County,69,0,29,,2,38,123,46,72,5,1
,,Van Buren County,76,5,25,,0,46,190,60,113,17,2
,,Washtenaw County,50,0,11,,4,35,119,43,64,12,3
,,Wayne County,87,3,15,,8,61,105,4,79,22,0
,,Wexford County,80,0,40,,1,39,242,67,169,6,1
MICHIGAN–Tribal Agencies,Little River Band of Ottawa Indians,,1,0,0,,0,1,17,0,17,0,0
,Nottawaseppi Huron Band of Potawatomi,,7,0,0,,2,5,101,11,88,2,0
MICHIGAN–Other Agencies,Bishop International Airport,,0,0,0,,0,0,19,0,3,16,0
,Capitol Region Airport Authority,,0,0,0,,0,0,5,0,3,2,0
,Genesee County Parks and Recreation ,,11,0,0,,6,5,17,4,10,3,2
,Gerald R. Ford International Airport,,0,0,0,,0,0,9,0,5,4,0
,Huron-Clinton Metropolitan Authority:,Hudson Mills Metropark,0,0,0,,0,0,1,0,1,0,0
,,Kensington Metropark,0,0,0,,0,0,3,0,3,0,0
,,Lower Huron Metropark,0,0,0,,0,0,18,0,18,0,0
,,Stony Creek Metropark,1,0,0,,0,1,13,0,13,0,0
,Wayne County Airport,,4,0,0,,1,3,240,1,135,104,1
MINNESOTA–State Agencies,Bureau of Criminal Apprehension,,0,0,0,,0,0,0,0,0,0,0
,Capitol Security,St. Paul,0,0,0,,0,0,31,1,28,2,0
,Department of Natural Resources Enforcement Division,,0,0,0,,0,0,0,0,0,0,0
,Minnesota State Patrol,,0,0,0,,0,0,0,0,0,0,0
,State Patrol: ,Brainerd,0,0,0,,0,0,0,0,0,0,0
,,Detroit Lakes,0,0,0,,0,0,0,0,0,0,0
,,Duluth,0,0,0,,0,0,0,0,0,0,0
,,Golden Valley,0,0,0,,0,0,0,0,0,0,0
,,Mankato,0,0,0,,0,0,0,0,0,0,0
,,Marshall,0,0,0,,0,0,0,0,0,0,0
,,Oakdale,0,0,0,,0,0,0,0,0,0,0
,,Rochester,0,0,0,,0,0,0,0,0,0,0
,,St. Cloud,0,0,0,,0,0,0,0,0,0,0
,,Thief River Falls,0,0,0,,0,0,0,0,0,0,0
,,Virginia,0,0,0,,0,0,0,0,0,0,0
MINNESOTA–Tribal Agencies,Fond du Lac Tribal,,27,0,5,,2,20,410,49,340,21,2
,Mille Lacs Tribal,,11,1,0,,4,6,115,28,79,8,2
,Upper Sioux Community,,0,0,0,,0,0,2,0,2,0,0
MINNESOTA–Other Agencies,Minneapolis-St. Paul International Airport,,5,0,2,,1,2,318,0,260,58,0
,Three Rivers Park District,,5,0,1,,2,2,64,2,62,0,1
MISSISSIPPI–State Agencies,Department of Marine Resources,,2,0,,0,0,2,1,0,1,0,0
MISSISSIPPI–Tribal Agencies,Choctaw Tribal,,153,0,5,,0,148,223,33,190,0,3
MISSISSIPPI–Other Agencies,Singing River Health System,,0,0,,0,0,0,0,0,0,0,0
MISSOURI–State Agencies,Capitol Police,,1,0,0,,0,1,14,0,14,0,0
,Department of Conservation,,1,0,0,,0,1,0,0,0,0,0
,Department of Revenue,Compliance and Investigation Bureau,0,0,0,,0,0,0,0,0,0,0
,Department of Social Services,State Technical Assistance Team,2,0,2,,0,0,0,0,0,0,0
,Division of Alcohol and Tobacco Control,,0,0,0,,0,0,0,0,0,0,0
,Gaming Commission,Enforcement Division,7,0,0,,2,5,214,0,211,3,1
,State Fire Marshal,,0,0,0,,0,0,0,0,0,0,234
,State Highway Patrol:,Jefferson City,18,3,1,,2,12,65,0,55,10,0
,,Kirkwood,5,0,0,,0,5,14,0,1,13,0
,,Lee's Summit,14,0,0,,0,14,21,4,6,11,0
,,Macon,13,1,1,,0,11,7,2,3,2,0
,,Poplar Bluff,5,0,0,,0,5,10,0,2,8,0
,,Rolla,4,1,0,,0,3,4,1,0,3,0
,,Springfield,8,0,0,,0,8,45,1,29,15,1
,,St. Joseph,10,0,1,,1,8,2,0,0,2,0
,,Willow Springs,3,0,0,,0,3,6,1,1,4,0
,State Park Rangers,,3,0,0,,0,3,85,5,79,1,2
MISSOURI–Other Agencies,Clay County Drug Task Force,,0,0,0,,0,0,0,0,0,0,0
,Clay County Park Authority,,1,0,0,,0,1,6,0,6,0,0
,Jackson County Drug Task Force,,0,0,0,,0,0,0,0,0,0,0
,Jackson County Park Rangers,,0,0,0,,0,0,0,0,0,0,0
,Kansas City International Airport,,0,0,0,,0,0,72,2,60,10,0
,Lambert-St. Louis International Airport,,2,0,0,,0,2,147,0,143,4,0
,Platte County Multi-Jurisdictional Enforcement Group,,0,0,0,,0,0,0,0,0,0,0
,Springfield-Branson Airport,,0,0,0,,0,0,30,0,15,15,0
,Springfield-Greene County Park Rangers,,0,0,0,,0,0,13,2,10,1,0
,St. Charles County Park Rangers,,0,0,0,,0,0,0,0,0,0,0
,Terminal Railroad ,,0,0,0,,0,0,0,0,0,0,0
,Western Missouri Cyber Crimes Task Force,,0,0,0,,0,0,0,0,0,0,0
MONTANA–Tribal Agencies,Blackfeet Agency,,120,0,18,,13,89,79,52,0,27,0
,Crow Agency,,61,1,6,,2,52,387,57,156,174,6
,Fort Belknap Tribal,,29,0,2,,0,27,42,5,36,1,1
,Fort Peck Assiniboine and Sioux Tribes,,58,3,8,,2,45,94,26,40,28,2
,Northern Cheyenne Agency,,55,2,8,,0,45,24,6,10,8,1
,Rocky Boy's Tribal,,120,1,12,,2,105,157,34,97,26,6
NEBRASKA–State Agencies,Nebraska State Patrol,,5,0,0,,0,5,10,1,9,0,0
,State Patrol: ,Adams County,0,0,0,,0,0,0,0,0,0,0
,,Antelope County,0,0,0,,0,0,0,0,0,0,0
,,Arthur County,0,0,0,,0,0,0,0,0,0,0
,,Banner County,0,0,0,,0,0,0,0,0,0,0
,,Blaine County,0,0,0,,0,0,0,0,0,0,0
,,Boone County,0,0,0,,0,0,0,0,0,0,0
,,Box Butte County,0,0,0,,0,0,2,1,1,0,0
,,Boyd County,0,0,0,,0,0,0,0,0,0,0
,,Brown County,0,0,0,,0,0,0,0,0,0,0
,,Buffalo County,0,0,0,,0,0,1,0,1,0,0
,,Burt County,0,0,0,,0,0,0,0,0,0,0
,,Butler County,0,0,0,,0,0,0,0,0,0,0
,,Cass County,1,0,0,,1,0,0,0,0,0,0
,,Cedar County,0,0,0,,0,0,0,0,0,0,0
,,Chase County,0,0,0,,0,0,0,0,0,0,0
,,Cherry County,0,0,0,,0,0,0,0,0,0,0
,,Cheyenne County,0,0,0,,0,0,0,0,0,0,0
,,Clay County,0,0,0,,0,0,1,1,0,0,0
,,Colfax County,0,0,0,,0,0,0,0,0,0,0
,,Cuming County,0,0,0,,0,0,0,0,0,0,0
,,Custer County,0,0,0,,0,0,0,0,0,0,0
,,Dakota County,0,0,0,,0,0,0,0,0,0,0
,,Dawes County,0,0,0,,0,0,2,1,1,0,0
,,Dawson County,0,0,0,,0,0,0,0,0,0,0
,,Deuel County,0,0,0,,0,0,0,0,0,0,0
,,Dixon County,0,0,0,,0,0,0,0,0,0,0
,,Dodge County,0,0,0,,0,0,1,0,1,0,0
,,Douglas County,0,0,0,,0,0,4,0,1,3,0
,,Dundy County,0,0,0,,0,0,0,0,0,0,0
,,Fillmore County,0,0,0,,0,0,0,0,0,0,0
,,Franklin County,0,0,0,,0,0,0,0,0,0,0
,,Frontier County,0,0,0,,0,0,0,0,0,0,0
,,Furnas County,0,0,0,,0,0,1,0,1,0,0
,,Gage County,0,0,0,,0,0,0,0,0,0,0
,,Garden County,0,0,0,,0,0,0,0,0,0,0
,,Garfield County,1,0,0,,1,0,1,0,1,0,0
,,Gosper County,0,0,0,,0,0,0,0,0,0,0
,,Grant County,0,0,0,,0,0,0,0,0,0,0
,,Greeley County,0,0,0,,0,0,0,0,0,0,0
,,Hall County,1,0,0,,0,1,6,0,6,0,0
,,Hamilton County,0,0,0,,0,0,0,0,0,0,0
,,Harlan County,0,0,0,,0,0,0,0,0,0,0
,,Hayes County,0,0,0,,0,0,0,0,0,0,0
,,Hitchcock County,1,0,0,,0,1,0,0,0,0,0
,,Holt County,0,0,0,,0,0,1,0,0,1,0
,,Hooker County,0,0,0,,0,0,0,0,0,0,0
,,Howard County,0,0,0,,0,0,0,0,0,0,0
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0
,,Johnson County,0,0,0,,0,0,0,0,0,0,0
,,Kearney County,0,0,0,,0,0,0,0,0,0,0
,,Keith County,1,0,0,,0,1,1,0,0,1,0
,,Keya Paha County,0,0,0,,0,0,0,0,0,0,0
,,Kimball County,0,0,0,,0,0,1,0,1,0,0
,,Knox County,0,0,0,,0,0,1,1,0,0,0
,,Lancaster County,0,0,0,,0,0,1,0,1,0,0
,,Lincoln County,2,0,0,,0,2,2,0,1,1,0
,,Logan County,0,0,0,,0,0,0,0,0,0,0
,,Loup County,0,0,0,,0,0,0,0,0,0,0
,,Madison County,0,0,0,,0,0,2,0,2,0,0
,,McPherson County,0,0,0,,0,0,0,0,0,0,0
,,Merrick County,0,0,0,,0,0,0,0,0,0,0
,,Morrill County,0,0,0,,0,0,1,0,1,0,0
,,Nance County,0,0,0,,0,0,0,0,0,0,0
,,Nemaha County,1,0,0,,0,1,0,0,0,0,0
,,Nuckolls County,0,0,0,,0,0,0,0,0,0,0
,,Otoe County,0,0,0,,0,0,1,0,1,0,0
,,Pawnee County,0,0,0,,0,0,0,0,0,0,0
,,Perkins County,0,0,0,,0,0,0,0,0,0,0
,,Phelps County,0,0,0,,0,0,1,0,0,1,0
,,Pierce County,0,0,0,,0,0,0,0,0,0,0
,,Platte County,0,0,0,,0,0,0,0,0,0,0
,,Polk County,0,0,0,,0,0,0,0,0,0,0
,,Red Willow County,1,0,0,,0,1,0,0,0,0,0
,,Richardson County,0,0,0,,0,0,0,0,0,0,0
,,Rock County,0,0,0,,0,0,0,0,0,0,0
,,Saline County,0,0,0,,0,0,0,0,0,0,0
,,Sarpy County,1,0,0,,0,1,1,0,1,0,0
,,Saunders County,0,0,0,,0,0,1,0,0,1,0
,,Scotts Bluff County,1,0,0,,0,1,5,1,4,0,0
,,Seward County,0,0,0,,0,0,0,0,0,0,0
,,Sheridan County,0,0,0,,0,0,1,0,1,0,0
,,Sherman County,0,0,0,,0,0,0,0,0,0,0
,,Sioux County,0,0,0,,0,0,0,0,0,0,0
,,Stanton County,0,0,0,,0,0,0,0,0,0,0
,,Thayer County,0,0,0,,0,0,0,0,0,0,0
,,Thomas County,0,0,0,,0,0,0,0,0,0,0
,,Thurston County,0,0,0,,0,0,1,0,1,0,0
,,Valley County,0,0,0,,0,0,0,0,0,0,0
,,Washington County,0,0,0,,0,0,0,0,0,0,0
,,Wayne County,1,0,0,,0,1,1,1,0,0,0
,,Webster County,0,0,0,,0,0,0,0,0,0,0
,,Wheeler County,0,0,0,,0,0,0,0,0,0,0
,,York County,1,0,0,,0,1,1,0,1,0,0
NEVADA–State Agencies,Capitol Police,,3,0,0,,2,1,24,5,17,2,0
,Department of Public Safety,Investigative Division,0,0,0,,0,0,0,0,0,0,0
,Highway Patrol:,Northeastern Division,0,0,0,,0,0,0,0,0,0,0
,,Northwestern Division,1,0,0,,0,1,3,2,1,0,0
,,Southern Division,3,0,0,,0,3,1,0,1,0,0
,Secretary of State Securities Division,Enforcement Section,0,0,0,,0,0,0,0,0,0,0
,State Fire Marshal,,0,0,0,,0,0,0,0,0,0,6
NEVADA–Tribal Agencies,Fallon Tribal,,8,0,0,,0,8,15,1,11,3,
,Las Vegas Paiute Tribal,,1,0,0,,0,1,18,0,18,0,0
,Lovelock Paiute Tribal,,2,1,0,,0,1,3,1,2,0,
,Moapa Tribal,,10,0,0,,0,10,88,6,75,7,
,Pyramid Lake Tribal,,15,0,2,,1,12,41,7,28,6,
NEVADA–Other Agencies,Clark County School District,,146,0,20,,28,98,1140,158,963,19,29
,Humboldt County School District,,0,0,0,,0,0,3,1,2,0,0
,Las Vegas Fire and Rescue,Arson Bomb Unit,0,0,0,,0,0,0,0,0,0,63
,North Las Vegas Fire Department Arson Investigations,,0,0,0,,0,0,0,0,0,0,62
,Reno Municipal Court Marshal,,0,0,0,,0,0,0,0,0,0,0
,Reno Tahoe Airport Authority,,0,0,0,,0,0,38,4,27,7,0
,Washoe County School District,,11,0,0,,1,10,132,18,114,0,1
NEW HAMPSHIRE–State Agencies,Liquor Commission,,0,0,0,,0,0,4,0,4,0,0
,State Police:,Belknap County,0,0,0,,0,0,1,0,1,0,0
,,Carroll County,0,0,0,,0,0,2,0,1,1,0
,,Cheshire County,8,0,2,,0,6,25,9,13,3,1
,,Coos County,7,0,3,,0,4,79,33,42,4,1
,,Grafton County,8,1,1,,0,6,53,26,21,6,0
,,Hillsborough County,15,0,0,,1,14,6,2,3,1,0
,,Merrimack County,11,0,2,,1,8,40,14,21,5,2
,,Rockingham County,4,0,1,,0,3,3,0,2,1,0
,,Strafford County,1,0,0,,0,1,3,1,1,1,0
,,Sullivan County,9,0,2,,0,7,16,6,7,3,0
NEW JERSEY–State Agencies,New Jersey Transit Police,,52,0,0,,34,18,371,5,363,3,2
,Palisades Interstate Parkway,,0,0,0,,0,0,1,0,1,0,0
,Port Authority of New York and New Jersey,,41,0,1,,10,30,441,4,417,20,1
,State Police,,0,0,0,,0,0,0,0,0,0,0
,State Police:,Atlantic County,41,0,2,,12,27,663,62,587,14,1
,,Bergen County,16,1,0,,2,13,46,1,41,4,0
,,Burlington County,37,1,7,,16,13,309,105,186,18,3
,,Camden County,7,1,0,,1,5,16,3,11,2,
,,Cape May County,29,0,3,,3,23,222,65,148,9,1
,,Cumberland County,57,2,14,,10,31,553,199,337,17,6
,,Essex County,10,0,0,,3,7,7,1,5,1,0
,,Hunterdon County,14,0,3,,3,8,119,44,69,6,1
,,Mercer County,11,0,4,,1,6,53,8,43,2,1
,,Middlesex County,10,0,0,,1,9,29,0,27,2,0
,,Monmouth County,11,0,2,,2,7,141,49,87,5,0
,,Morris County,7,0,1,,2,4,25,8,14,3,0
,,Ocean County,5,0,2,,1,2,38,7,31,0,0
,,Salem County,37,0,5,,11,21,237,90,132,15,0
,,Sussex County,28,0,7,,2,19,385,115,255,15,1
,,Union County,4,0,0,,1,3,14,1,7,6,1
,,Warren County,19,1,3,,2,13,115,36,72,7,0
NEW JERSEY–Other Agencies,Prosecutor:,Atlantic County,0,0,0,,0,0,0,0,0,0,0
,,Bergen County,0,0,0,,0,0,0,0,0,0,0
,,Burlington County,0,0,0,,0,0,0,0,0,0,0
,,Camden County,0,0,0,,0,0,0,0,0,0,0
,,Cape May County,0,0,0,,0,0,0,0,0,0,0
,,Cumberland County,0,0,0,,0,0,0,0,0,0,0
,,Essex County,0,0,0,,0,0,0,0,0,0,0
,,Gloucester County,0,0,0,,0,0,0,0,0,0,0
,,Hudson County,0,0,0,,0,0,0,0,0,0,0
,,Hunterdon County,0,0,0,,0,0,0,0,0,0,0
,,Mercer County,0,0,0,,0,0,0,0,0,0,0
,,Middlesex County,0,0,0,,0,0,0,0,0,0,0
,,Monmouth County,0,0,0,,0,0,0,0,0,0,0
,,Morris County,0,0,0,,0,0,0,0,0,0,0
,,Ocean County,0,0,0,,0,0,0,0,0,0,0
,,Passaic County,0,0,0,,0,0,0,0,0,0,0
,,Salem County,0,0,0,,0,0,0,0,0,0,0
,,Somerset County,0,0,0,,0,0,0,0,0,0,0
,,Sussex County,0,0,0,,0,0,0,0,0,0,0
,,Union County,0,0,0,,0,0,0,0,0,0,0
,,Warren County,0,0,0,,0,0,0,0,0,0,0
,Park Police:,Morris County,0,0,0,,0,0,10,0,10,0,0
,,Union County,47,0,1,,4,42,48,3,43,2,0
NEW MEXICO–State Agencies,Motor Transportation Police,,11,0,,0,0,11,10,0,8,2,
,New Mexico State Police,,396,3,,49,9,335,527,136,297,94,
NEW MEXICO–Tribal Agencies,Acoma Tribal,,6,0,0,,0,6,7,1,4,2,0
,Jicarilla Apache Tribal,,21,0,0,,1,20,0,0,0,0,0
,Laguna Tribal,,36,0,5,,5,26,96,10,65,21,2
,Mescalero Tribal,,10,0,1,,0,9,7,2,5,0,0
,Northern Pueblos Agency,,6,0,0,,0,6,9,4,4,1,1
,Pojoaque Tribal,,14,0,1,,1,12,83,11,65,7,0
,Ramah Navajo Tribal,,6,0,0,,0,6,4,4,0,0,2
,Santa Ana Tribal,,12,1,0,,0,11,62,7,44,11,0
,Taos Pueblo,,2,0,1,,0,1,8,4,3,1,0
,Tesuque Pueblo,,2,0,0,,0,2,6,0,6,0,0
,Zuni Tribal,,16,0,1,,0,15,0,0,0,0,0
NEW YORK–State Agencies,State Park:,Allegany Region,0,0,0,,0,0,12,3,9,0,0
,,Central Region,0,0,0,,0,0,23,2,21,0,0
,,Finger Lakes Region,0,0,0,,0,0,30,5,25,0,0
,,Genesee Region,2,2,0,,0,0,7,2,5,0,0
,,Long Island Region,13,0,1,,3,9,116,2,113,1,
,,New York City Region,6,0,2,,2,2,89,2,84,3,0
,,Niagara Region,7,0,0,,7,0,43,1,42,0,0
,,Palisades Region,2,0,0,,0,2,18,3,15,0,0
,,Taconic Region,1,0,0,,0,1,22,2,20,0,0
,,Thousand Island Region,0,0,0,,0,0,26,1,24,1,0
,State Police:,Albany County ,15,2,9,,2,2,122,9,110,3,3
,,Allegany County ,50,0,30,,0,20,259,82,161,16,2
,,Broome County ,82,0,48,,4,30,516,127,371,18,1
,,Cattaraugus County ,42,0,30,,1,11,248,71,169,8,2
,,Cayuga County ,32,0,15,,0,17,235,56,168,11,0
,,Chautauqua County ,24,0,17,,2,5,154,33,114,7,0
,,Chemung County ,51,0,21,,1,29,252,42,201,9,0
,,Chenango County ,52,0,30,,1,21,199,61,131,7,1
,,Clinton County ,84,0,53,,2,29,803,148,639,16,7
,,Columbia County ,58,0,29,,3,26,143,36,105,2,1
,,Cortland County ,13,0,9,,0,4,97,17,78,2,1
,,Delaware County ,33,0,13,,1,19,174,53,120,1,0
,,Duchess County ,166,0,52,,9,105,469,83,372,14,2
,,Erie County ,44,1,23,,1,19,293,28,257,8,
,,Essex County ,39,0,20,,1,18,243,73,166,4,8
,,Franklin County ,59,0,43,,1,15,278,59,211,8,6
,,Fulton County ,29,0,20,,2,7,72,12,59,1,0
,,Genesee County ,14,0,9,,1,4,137,25,107,5,0
,,Greene County ,82,0,29,,2,51,288,90,187,11,9
,,Hamilton County ,2,0,1,,0,1,39,15,23,1,0
,,Herkimer County ,28,0,15,,1,12,257,82,160,15,2
,,Jefferson County ,58,1,35,,1,21,549,100,432,17,7
,,Lewis County ,20,0,16,,0,4,106,37,68,1,0
,,Livingston County ,24,1,8,,1,14,32,7,22,3,0
,,Madison County ,40,0,30,,2,8,200,43,147,10,3
,,Monroe County ,16,0,10,,1,5,58,1,52,5,0
,,Montgomery County ,12,0,7,,0,5,113,19,91,3,0
,,Nassau County ,6,0,0,,0,6,5,0,3,2,1
,,New York County ,3,0,1,,0,2,11,0,11,0,0
,,Niagara County ,29,0,16,,4,9,228,39,180,9,0
,,Oneida County ,117,1,51,,3,62,449,108,319,22,3
,,Onondaga County ,52,0,28,,4,20,672,104,538,30,3
,,Ontario County ,29,0,22,,0,7,293,39,244,10,4
,,Orange County ,138,3,82,,12,41,700,76,596,28,7
,,Orleans County ,15,0,10,,1,4,65,15,46,4,0
,,Oswego County ,111,0,71,,6,34,683,218,436,29,4
,,Otsego County ,34,0,21,,0,13,308,30,273,5,0
,,Putnam County ,13,0,5,,1,7,89,18,66,5,1
,,Rensselaer County ,38,0,23,,0,15,407,76,300,31,5
,,Rockland County ,5,0,3,,1,1,16,1,14,1,0
,,Saratoga County ,80,0,45,,8,27,628,60,556,12,0
,,Schenectady County ,10,0,5,,0,5,59,4,54,1,1
,,Schoharie County ,28,0,20,,1,7,133,37,86,10,2
,,Schuyler County ,3,0,3,,0,0,17,5,10,2,0
,,Seneca County ,29,0,18,,0,11,120,23,94,3,1
,,Steuben County ,79,1,43,,3,32,485,84,367,34,6
,,St. Lawrence County ,84,0,47,,6,31,414,95,300,19,
,,Suffolk County ,30,0,16,,3,11,44,10,30,4,0
,,Sullivan County ,95,1,57,,2,35,269,87,168,14,2
,,Tioga County ,24,0,18,,1,5,84,13,68,3,0
,,Tompkins County ,47,0,26,,1,20,242,64,168,10,0
,,Ulster County ,75,0,41,,2,32,416,99,311,6,1
,,Warren County ,33,1,19,,1,12,234,19,210,5,1
,,Washington County ,36,0,18,,0,18,124,25,94,5,3
,,Wayne County ,74,1,40,,7,26,527,120,382,25,3
,,Westchester County ,63,0,20,,8,35,443,58,372,13,1
,,Wyoming County ,17,0,4,,0,13,19,2,16,1,0
,,Yates County ,1,0,1,,0,0,17,4,13,0,0
NEW YORK–Tribal Agencies,Oneida Indian Nation,,10,0,0,,0,10,192,2,190,0,1
,St. Regis Tribal,,11,0,0,,0,11,31,4,18,9,0
NEW YORK–Other Agencies,New York City Department of Environmental Protection Police:,Delaware County,0,0,,0,0,0,8,0,8,0,0
,,Schoharie County ,0,0,,0,0,0,0,0,0,0,0
,,Sullivan County,0,0,,0,0,0,3,0,3,0,0
,,Ulster County,0,0,,0,0,0,0,0,0,0,0
,,"Westchester County, Croton-Kensico",0,0,,0,0,0,3,0,3,0,0
,,"Westchester County, Hillview",0,0,,0,0,0,0,0,0,0,0
,New York City Metropolitan Transportation Authority,,82,0,1,,40,41,632,35,593,4,0
,Onondaga County Parks,,0,0,,0,0,0,59,0,59,0,0
NORTH CAROLINA–State Agencies,Department of Health and Human Resources,,0,0,,0,0,0,2,0,2,0,0
,North Carolina Highway Patrol,,0,0,,0,0,0,0,0,0,0,0
,State Park Rangers:,Crowders Mountain,0,0,,0,0,0,3,0,3,0,0
,,Hanging Rock,0,0,,0,0,0,0,0,0,0,0
,,Lake Norman,0,0,,0,0,0,11,1,10,0,0
,,Morrow Mountain,0,0,,0,0,0,4,0,4,0,0
,,New River-Mount Jefferson,0,0,,0,0,0,0,0,0,0,0
NORTH CAROLINA–Other Agencies,Raleigh-Durham International Airport,,2,0,,0,0,2,126,0,90,36,1
,WakeMed Campus Police,,19,0,,0,2,17,78,0,78,0,0
NORTH DAKOTA–State Agencies,North Dakota Highway Patrol,,1,0,1,,0,0,9,0,1,8,1
NORTH DAKOTA–Tribal Agencies,Standing Rock Agency,,87,0,10,,0,77,20,7,4,9,0
OHIO–State Agencies,Ohio Department of Natural Resources,,2,0,0,,1,1,17,2,15,0,1
,Ohio State Highway Patrol,,291,1,35,,4,251,233,12,179,42,2
OHIO–Other Agencies,Cleveland Metropolitan Park District,,12,0,5,,5,2,164,3,159,2,3
,Hamilton County Park District,,0,0,0,,0,0,66,1,62,3,0
,Lake Metroparks,,3,0,,0,2,1,11,0,11,0,0
,Toledo Fire Department,Fire Investigation Unit,0,0,0,,0,0,0,0,0,0,152
,University Hospitals Portage Medical Center,,1,0,,0,0,1,2,0,2,0,0
OKLAHOMA–State Agencies,Capitol Park Police,,0,0,0,,0,0,1,0,1,0,0
,Oklahoma Highway Patrol,,8,4,0,,0,4,11,0,3,8,0
OKLAHOMA–Tribal Agencies,Absentee Shawnee Tribal,,3,0,1,,0,2,29,9,19,1,0
,Anadarko Agency,,7,0,0,,0,7,47,7,35,5,1
,Cherokee Nation,,17,0,0,,1,16,25,7,8,10,2
,Chickasaw Nation,,34,0,2,,15,17,954,45,842,67,0
,Choctaw Nation,,33,0,0,,0,33,307,21,261,25,0
,Citizen Potawatomi Nation,,4,0,0,,0,4,136,34,92,10,0
,Comanche Nation,,12,0,1,,5,6,86,7,72,7,2
,Concho Agency,,10,0,0,,0,10,20,1,14,5,1
,Eastern Shawnee Tribal,,0,0,0,,0,0,62,0,55,7,0
,Iowa Tribal,,1,0,0,,0,1,17,2,14,1,0
,Kickapoo Tribal,,1,0,0,,0,1,18,2,14,2,0
,Miami Agency,,0,0,0,,0,0,41,2,34,5,0
,Miami Tribal,,2,0,0,,0,2,9,1,6,2,0
,Muscogee Nation Tribal,,7,1,0,,1,5,102,14,64,24,0
,Osage Nation,,10,1,0,,3,6,95,20,59,16,6
,Otoe-Missouria Tribal,,7,0,0,,0,7,15,3,9,3,0
,Pawnee Tribal,,0,0,0,,0,0,4,0,4,0,
,Ponca Tribal,,5,0,0,,0,5,30,8,17,5,4
,Quapaw Tribal,,3,0,1,,2,0,78,6,67,5,2
,Sac and Fox Tribal,,3,0,0,,0,3,19,3,10,6,0
,Seminole Nation Lighthorse ,,3,0,0,,2,1,21,6,14,1,0
